Norder,Old Zernike,Old Zernike Derivative,Single Zernike,Single Zernike Derivative,Mult Zernike,Mult Zernike Derivative,Commun Zernike,Commun Zernike Derivative,Up to Order Zernike,Up to Order Zernike Derivative,XY Zernike,XY Zernike Derivative,XY Up to Order Zernike,XY Up to Order Zernike Derivative
1,0.0804982879999443,0.16051120799966156,0.06615234600030817,0.1740904899997986,0.07119000199963921,0.10674616699907347,0.10409490399979404,0.18087750999984564,0.12568436000219663,0.11362825800097198,0.17556257400065078,0.22747288499886054,0.11204408900084672,0.19934418199773063
2,0.1572736479974992,0.276687147001212,0.17402675000266754,0.3449698550030007,0.16484600699914154,0.2678706279984908,0.17787732199940365,0.29212349400040694,0.1670755380000628,0.22265820400207303,0.21511361499869963,0.35977872900184593,0.17442886600110796,0.2839893519994803
3,0.3089337770034035,0.5483752539985289,0.3468978609998885,0.8073868520004908,0.26063987700035796,0.38761605199761107,0.2448287050028739,0.4492605180021201,0.2236696679974557,0.30631661100051133,0.28327286900093895,0.6088393409991113,0.2430637299985392,0.40630156100087333
4,0.47606602599989856,0.9231557010025426,0.5659019269987766,1.5073453210025036,0.29736103199684294,0.6570256410013826,0.3575104450028448,0.775764544003323,0.2966535269988526,0.44836688400027924,0.5049642039994069,0.9473490430027596,0.3228883070005395,0.5878605479992984
5,0.7266414019977674,1.4700438789986947,0.865687187997537,2.3944368080010463,0.40436031900026137,0.8431112180005584,0.559396882999863,1.2600316220014065,0.3891867749989615,0.6221663979995355,0.5655696370013175,1.5033067139993364,0.3872850319967256,0.7907239619999018
6,1.0126199049991556,2.163472623000416,1.2727831800002605,3.5108572270000877,0.5447522110007412,1.3188861190028547,0.8101443060004385,2.1183094599982724,0.4680040499988536,0.8419215059984708,0.6614025809976738,3.3420779640000546,0.4879015189981146,1.0605152460011595
7,1.2834979459985334,3.032447574001708,1.769211083999835,4.901362901000539,0.7190861880008015,1.8257454240010702,1.1593118569981016,2.8601639379994594,0.5994087270009913,1.1109589619991311,0.8908458369987784,4.137829436000175,0.6151709669975389,1.3697254070029885
8,1.6410085200004687,4.108659171000909,2.3710275939993153,6.628613690998463,0.956935184996837,2.56712673599759,1.5776847160013858,4.0750248650001595,0.7556426949995512,1.4461063470007502,1.136279653001111,5.2773151000001235,0.7763222220019088,1.7374658629996702
9,2.0742021430014574,5.365252674997464,3.0102142520008783,9.034371043999272,1.3927963109999837,2.980834453002899,2.145690983001259,6.144528398999682,0.943973018998804,1.8346102180003072,1.3466466840000066,5.098353204000887,0.9599633350007934,2.181700830002228
10,3.0233396090006863,8.291500593997625,3.851103377997788,11.808801769999263,1.6421405530018092,3.9331832639982167,2.8480255719987326,8.467885976002435,1.1670931379994727,2.304078033001133,1.6303757499990752,6.776151202000619,1.2319118410014198,2.770911982999678
11,3.9282730300001276,11.458934962000058,4.778864104999229,14.742875732998073,1.867624552000052,4.8088327669975115,3.653060757998901,10.42558112199913,1.4229449880003813,2.846881052999379,1.8960909779998474,8.286823859001743,1.4612490409999737,3.5618583760006004
12,5.090232536997064,15.124824799000635,5.738557987999229,17.913705017999746,2.219484912999178,6.0004707319967565,4.86837961999845,13.458381418997305,1.6952548359986395,3.6973978970017924,2.316279086000577,10.255568016000325,1.7340869680010655,4.135757334999653
